id,label
20800,0
20801,1
20802,0
20803,0
20804,0
20805,1
20806,0
20807,0
20808,1
20809,1
20810,0
20811,1
20812,0
20813,0
20814,1
20815,0
20816,0
20817,1
20818,1
20819,0
20820,1
20821,1
20822,1
20823,1
20824,1
20825,1
20826,1
20827,1
20828,0
20829,0
20830,1
20831,1
20832,1
20833,1
20834,1
20835,0
20836,0
20837,1
20838,0
20839,0
20840,0
20841,1
20842,1
20843,0
20844,0
20845,1
20846,0
20847,0
20848,1
20849,1
20850,0
20851,1
20852,1
20853,0
20854,1
20855,0
20856,1
20857,0
20858,0
20859,0
20860,1
20861,0
20862,1
20863,1
20864,1
20865,1
20866,0
20867,1
20868,1
20869,0
20870,0
20871,1
20872,1
20873,0
20874,0
20875,0
20876,0
20877,0
20878,1
20879,0
20880,0
20881,1
20882,0
20883,0
20884,1
20885,1
20886,0
20887,0
20888,0
20889,0
20890,1
20891,0
20892,0
20893,0
20894,0
20895,0
20896,1
20897,0
20898,1
20899,1
20900,1
20901,1
20902,0
20903,0
20904,0
20905,0
20906,1
20907,0
20908,0
20909,0
20910,1
20911,1
20912,1
20913,0
20914,1
20915,1
20916,0
20917,0
20918,0
20919,0
20920,0
20921,0
20922,1
20923,0
20924,0
20925,1
20926,0
20927,1
20928,1
20929,0
20930,1
20931,0
20932,0
20933,0
20934,0
20935,0
20936,0
20937,1
20938,0
20939,0
20940,1
20941,0
20942,0
20943,0
20944,1
20945,1
20946,1
20947,0
20948,0
20949,1
20950,0
20951,0
20952,1
20953,0
20954,0
20955,0
20956,0
20957,1
20958,0
20959,0
20960,0
20961,1
20962,0
20963,0
20964,1
20965,1
20966,1
20967,1
20968,1
20969,0
20970,1
20971,0
20972,0
20973,1
20974,0
20975,0
20976,0
20977,0
20978,1
20979,0
20980,0
20981,0
20982,1
20983,1
20984,1
20985,1
20986,0
20987,0
20988,0
20989,0
20990,1
20991,0
20992,0
20993,0
20994,1
20995,0
20996,0
20997,0
20998,0
20999,1
21000,0
21001,1
21002,0
21003,1
21004,1
21005,1
21006,0
21007,1
21008,0
21009,1
21010,0
21011,0
21012,0
21013,0
21014,0
21015,1
21016,0
21017,1
21018,0
21019,0
21020,0
21021,1
21022,1
21023,1
21024,1
21025,1
21026,1
21027,0
21028,0
21029,0
21030,0
21031,0
21032,0
21033,1
21034,1
21035,1
21036,0
21037,0
21038,0
21039,0
21040,0
21041,0
21042,0
21043,0
21044,0
21045,1
21046,0
21047,0
21048,1
21049,1
21050,1
21051,1
21052,0
21053,0
21054,0
21055,0
21056,1
21057,0
21058,0
21059,0
21060,1
21061,1
21062,1
21063,1
21064,1
21065,1
21066,0
21067,0
21068,1
21069,1
21070,0
21071,0
21072,0
21073,0
21074,1
21075,1
21076,1
21077,0
21078,1
21079,1
21080,1
21081,1
21082,0
21083,1
21084,1
21085,1
21086,0
21087,0
21088,0
21089,0
21090,1
21091,1
21092,0
21093,0
21094,1
21095,0
21096,1
21097,1
21098,0
21099,1
21100,0
21101,1
21102,1
21103,0
21104,1
21105,0
21106,1
21107,0
21108,1
21109,0
21110,0
21111,1
21112,0
21113,0
21114,1
21115,0
21116,0
21117,0
21118,1
21119,1
21120,0
21121,1
21122,1
21123,0
21124,0
21125,1
21126,1
21127,0
21128,1
21129,0
21130,1
21131,1
21132,1
21133,1
21134,0
21135,1
21136,0
21137,0
21138,0
21139,0
21140,1
21141,0
21142,0
21143,1
21144,1
21145,0
21146,1
21147,1
21148,1
21149,1
21150,0
21151,0
21152,1
21153,1
21154,0
21155,0
21156,1
21157,1
21158,0
21159,0
21160,1
21161,0
21162,0
21163,1
21164,1
21165,0
21166,1
21167,1
21168,0
21169,0
21170,0
21171,0
21172,0
21173,1
21174,0
21175,0
21176,0
21177,1
21178,0
21179,1
21180,0
21181,0
21182,1
21183,0
21184,0
21185,0
21186,0
21187,0
21188,0
21189,0
21190,0
21191,1
21192,0
21193,0
21194,0
21195,0
21196,0
21197,0
21198,0
21199,1
21200,0
21201,1
21202,0
21203,0
21204,1
21205,0
21206,0
21207,0
21208,0
21209,1
21210,1
21211,0
21212,0
21213,0
21214,1
21215,0
21216,0
21217,0
21218,1
21219,0
21220,0
21221,0
21222,0
21223,0
21224,1
21225,1
21226,0
21227,1
21228,1
21229,0
21230,0
21231,0
21232,0
21233,1
21234,0
21235,0
21236,0
21237,0
21238,0
21239,1
21240,0
21241,0
21242,0
21243,1
21244,0
21245,1
21246,1
21247,1
21248,1
21249,0
21250,0
21251,0
21252,1
21253,0
21254,1
21255,0
21256,0
21257,0
21258,0
21259,1
21260,1
21261,0
21262,0
21263,0
21264,1
21265,0
21266,1
21267,0
21268,0
21269,0
21270,0
21271,0
21272,0
21273,0
21274,0
21275,0
21276,1
21277,1
21278,0
21279,1
21280,1
21281,0
21282,1
21283,0
21284,1
21285,0
21286,0
21287,1
21288,0
21289,0
21290,0
21291,1
21292,1
21293,0
21294,0
21295,0
21296,0
21297,0
21298,0
21299,1
21300,0
21301,0
21302,1
21303,1
21304,1
21305,0
21306,1
21307,0
21308,1
21309,0
21310,0
21311,0
21312,0
21313,0
21314,1
21315,0
21316,0
21317,0
21318,0
21319,1
21320,1
21321,0
21322,1
21323,1
21324,0
21325,1
21326,1
21327,0
21328,0
21329,0
21330,1
21331,1
21332,0
21333,1
21334,1
21335,1
21336,0
21337,0
21338,1
21339,0
21340,1
21341,1
21342,1
21343,1
21344,0
21345,1
21346,0
21347,0
21348,0
21349,0
21350,0
21351,1
21352,0
21353,1
21354,1
21355,0
21356,0
21357,0
21358,0
21359,1
21360,0
21361,1
21362,1
21363,0
21364,1
21365,0
21366,0
21367,0
21368,1
21369,0
21370,0
21371,0
21372,0
21373,0
21374,1
21375,0
21376,1
21377,1
21378,0
21379,1
21380,1
21381,0
21382,0
21383,1
21384,0
21385,1
21386,0
21387,1
21388,0
